word1,word2,n,decade
await,official,1,post1960
await,trial,1,post1960
awaiting,trial,1,post1960
award,win,1,post1960
award,winning,1,post1960
azines,published,1,post1960
bachelor,diggs,1,post1960
bad,récord,1,post1960
baird,executive,1,post1960
baker,william,1,post1960
baltimore,washington,1,post1960
banning,discrimi,1,post1960
baptist,church,1,post1960
bar,closed,1,post1960
barbara,mcnair,1,post1960
barbaric,acts,1,post1960
barbaric,practices,1,post1960
bargaining,table,1,post1960
bartender's,body,1,post1960
based,coalition,1,post1960
based,insult,1,post1960
based,solely,1,post1960
basic,con,1,post1960
basic,concept,1,post1960
basic,elements,1,post1960
basic,question,1,post1960
beach,beach,1,post1960
beaten,shot,1,post1960
beatty,defeated,1,post1960
begin,hearings,1,post1960
bell,supporters,1,post1960
bell's,supporters,1,post1960
bella,abzug,1,post1960
benevolent,feelings,1,post1960
benjamin,malcolm,1,post1960
bennett,jr,1,post1960
bennie,thompson,1,post1960
berry,67,1,post1960
bers.john,brown,1,post1960
bertrand,arrested,1,post1960
bessemer,superhighway,1,post1960
bethune,william,1,post1960
betwen,dread,1,post1960
biceps,bulge,1,post1960
bie,7,1,post1960
bill,green,1,post1960
billion,dollar,1,post1960
bilozi,miss,1,post1960
biplane,dropped,1,post1960
birmingham,ala,1,post1960
births,tri,1,post1960
black,business,1,post1960
black,businessmen,1,post1960
black,church,1,post1960
black,class,1,post1960
black,corrections,1,post1960
black,creativity,1,post1960
black,cross,1,post1960
black,defender,1,post1960
black,economic,1,post1960
black,ed,1,post1960
black,editors,1,post1960
black,employees,1,post1960
black,god,1,post1960
black,greenwood,1,post1960
black,haves,1,post1960
black,institution,1,post1960
black,jour,1,post1960
black,journalism,1,post1960
black,magazines,1,post1960
black,mayor,1,post1960
black,media,1,post1960
black,nation,1,post1960
black,nationalist,1,post1960
black,news,1,post1960
black,newspaper,1,post1960
black,newspapers,1,post1960
black,owned,1,post1960
black,persons,1,post1960
black,perspective,1,post1960
black,political,1,post1960
black,politician,1,post1960
black,population,1,post1960
black,power,1,post1960
black,public,1,post1960
black,race,1,post1960
black,rape,1,post1960
black,readers,1,post1960
black,servicemen,1,post1960
black,skin,1,post1960
black,soldiers,1,post1960
black,tax,1,post1960
black,universal,1,post1960
black,voices,1,post1960
black,votes,1,post1960
black,white,1,post1960
blacks,continue,1,post1960
blacks,em,1,post1960
blacks,executed,1,post1960
blacks,expect,1,post1960
blacks,killed,1,post1960
blacks,money,1,post1960
blacks,politically,1,post1960
blasphemy,lev,1,post1960
blast,cops,1,post1960
blast,nixon,1,post1960
blocking,blacks,1,post1960
blond,white,1,post1960
blonde,girl,1,post1960
blooded,efficient,1,post1960
bloody,triumph,1,post1960
bobby,davis,1,post1960
body,separates,1,post1960
body,thrown,1,post1960
boldups,assaults,1,post1960
bom,nov,1,post1960
bombed,muslim,1,post1960
books,prohibiting,1,post1960
bore,ohin,1,post1960
born,cdi,1,post1960
born,ed,1,post1960
born,editor,1,post1960
borough,president,1,post1960
boston,branch,1,post1960
boston,building,1,post1960
boston,massacre,1,post1960
boston,walker,1,post1960
bott,black,1,post1960
boxing,center,1,post1960
boy,friend's,1,post1960
boyd's,death,1,post1960
briseno,lau,1,post1960
broen,es,1,post1960
bronx,businessman,1,post1960
bronx,jamaica,1,post1960
brooklyn,da,1,post1960
brooklyn,upset,1,post1960
brother,bertrand,1,post1960
brother,fleeta,1,post1960
brother,greg,1,post1960
brought,sensationalism,1,post1960
brown,ame,1,post1960
brown,called,1,post1960
brown,councilman,1,post1960
brown,moved,1,post1960
brown,statue,1,post1960
brown's,heroism,1,post1960
brownsville,harlem,1,post1960
brutal,serbian,1,post1960
brutal,story,1,post1960
brutally,frank,1,post1960
brute,raping,1,post1960
budding,weekly,1,post1960
budget,conscious,1,post1960
building,robbery,1,post1960
bull,vega,1,post1960
bullet,pierced,1,post1960
burg,grand,1,post1960
burke,publish,1,post1960
burley,leppard,1,post1960
burn,wound,1,post1960
bus,terminal,1,post1960
business,practices,1,post1960
business,section,1,post1960
business,television,1,post1960
businessman,fred,1,post1960
cades,ahead,1,post1960
cadillac,bore,1,post1960
cago,omaha,1,post1960
cal,ignorance,1,post1960
cal,power,1,post1960
calif,dourniese,1,post1960
california,prison,1,post1960
called,dubois,1,post1960
called,pen,1,post1960
called,white,1,post1960
callendar,president,1,post1960
campaign,continued,1,post1960
candidate,blacks,1,post1960
cans,surpassed,1,post1960
capers,shot,1,post1960
capital,crimes,1,post1960
capital,letters,1,post1960
capitol,15,1,post1960
caracerating,prisoners,1,post1960
cardinal,o'connor,1,post1960
cargo,planes,1,post1960
carl,mccall,1,post1960
carolina,desegregated,1,post1960
carolina,ku,1,post1960
carolina,naacp,1,post1960
carried,ad,1,post1960
caucus,alleges,1,post1960
caused,slaveowners,1,post1960
celebrated,73rd,1,post1960
cell,door,1,post1960
cell,telethon,1,post1960
cent,occurred,1,post1960
cent,visit,1,post1960
center,philip,1,post1960
central,africa,1,post1960
central,avenue,1,post1960
central,city,1,post1960
century,ago,1,post1960
cessfully,mediating,1,post1960
champion,resem,1,post1960
chapel,gardens,1,post1960
chapters,accord,1,post1960
charge,lynching,1,post1960
charges,ted,1,post1960
charles,bell,1,post1960
charles,holman,1,post1960
charles,park,1,post1960
chastise,police,1,post1960
ches,prayer,1,post1960
chester,goolrick,1,post1960
chestnut,39,1,post1960
chette,found,1,post1960
chicago,anp,1,post1960
chicago,civil,1,post1960
