"","X","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"6439",34902,34902,34902,54638,"1889-11-01","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54638/ncu_jefferson_ver02/sn91090200/1889/11/01/ed-1/seq-2/0?user_id=6","sn91090200",1889,11,1,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6440",34903,34903,34903,54639,"1892-03-15","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54639/ncu_jefferson_ver02/sn91090200/1892/03/15/ed-1/seq-5/0?user_id=6","sn91090200",1892,3,15,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6441",34904,34904,34904,54640,"1892-04-12","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54640/ncu_jefferson_ver02/sn91090200/1892/04/12/ed-1/seq-4/0?user_id=6","sn91090200",1892,4,12,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6442",34905,34905,34905,54642,"1888-08-03","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54642/ncu_jefferson_ver02/sn91090200/1888/08/03/ed-1/seq-3/0?user_id=6","sn91090200",1888,8,3,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6443",34906,34906,34906,54643,"1885-10-02","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54643/ncu_jefferson_ver02/sn91090200/1885/10/02/ed-1/seq-2/0?user_id=6","sn91090200",1885,10,2,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6444",34907,34907,34907,54644,"1892-05-31","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54644/ncu_jefferson_ver02/sn91090200/1892/05/31/ed-1/seq-2/0?user_id=6","sn91090200",1892,5,31,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6445",34908,34908,34908,54645,"1890-04-24","The daily state chronicle","Raleigh","N.C","https://articleextractor.org/pages//54645/ncu_jefferson_ver02/sn92072977/1890/04/24/ed-1/seq-5/0?user_id=6","sn92072977",1890,4,24,"ed-1","Raleigh,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6446",34909,34909,34909,54646,"1890-06-18","The daily state chronicle","Raleigh","N.C","https://articleextractor.org/pages//54646/ncu_jefferson_ver02/sn92072977/1890/06/18/ed-1/seq-1/0?user_id=6","sn92072977",1890,6,18,"ed-1","Raleigh,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6447",34910,34910,34910,54647,"1890-03-13","The daily state chronicle","Raleigh","N.C","https://articleextractor.org/pages//54647/ncu_jefferson_ver02/sn92072977/1890/03/13/ed-1/seq-1/0?user_id=6","sn92072977",1890,3,13,"ed-1","Raleigh,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6448",34911,34911,34911,54648,"1890-11-18","The daily state chronicle","Raleigh","N.C","https://articleextractor.org/pages//54648/ncu_jefferson_ver02/sn92072977/1890/11/18/ed-1/seq-1/0?user_id=6","sn92072977",1890,11,18,"ed-1","Raleigh,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
